Nome struttura;Indirizzo;Disponibilità accesso;Manutenzione periodica;Note
Municipio - SR. 62;Via C.Bon Brenzoni 26;Sempre;Sì;
Municipio - cortile interno;Via C.Bon Brenzoni 26;Sempre;Sì;
Centro Famiglie Insieme;Via Quartieri 2;Sempre;Sì;
Piazzale Chiesa SS. Pietro e Paolo;Via C. Montanari 1;Sempre;Sì;
Centro Baco da Seta;Via C. Montanari 61;Sempre;Sì;
Impianto sportivo spogliatoi calcio;Via XXV Aprile;Negli orari di apertura;Sì;
Impianto sportivo spogliatoi calcio;Via Mediana 2;Negli orari di apertura;Sì;
Impianto sportivo palazzetto;Via Mediana 2;Negli orari di apertura;Sì;
Circolo Auser le Risorgive;Via Crocetta 1;Sempre;Sì;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
