Nome struttura;Indirizzo;Disponibilità accesso;Manutenzione periodica;Note
Polizia Locale;Piazza C. Alberto, 1 37066 Sommacampagna (VR);Negli orari di apertura;Sì;SU VETTURA POLIZIA LOCALE
Farmacia Comunale;Via Gidino, 2, 37066 Sommacampagna VR;Sempre;Sì;
Dispensario Farmaceutico di Custoza;Via Giuseppe Lugo, 2A, 37066 Custoza VR;Sempre;Sì;
Protezione Civile;Via Scuole, 49, 37066 Caselle VR;Sempre;Sì;
Scuola Primaria di Sommacampagna;Via Bassa, 6, 37066 Sommacampagna VR;Negli orari di apertura;Sì;
Scuola Primaria di Caselle;Via Roma n. 114 – Caselle 37066 Sommacampagna (VR);Negli orari di apertura;Sì;
Scuola Primaria di Custoza;Str. Nuova, 25, 37066 Custoza VR;Negli orari di apertura;Sì;
Scuola Secondaria di Sommacampagna;Via Campagnol n. 8 37066 Sommacampagna (VR);Negli orari di apertura;Sì;
Scuola Secondaria di Caselle;Via Don Luigi Bogoni – Caselle 37066 Sommacampagna (VR);Negli orari di apertura;Sì;
Centro Sociale di Caselle;Via Scuole, 49, 37066 Caselle VR;Sempre;Sì;
Baita Alpini Sommacampagna;Via Alcide De Gasperi, 7, 37066 Sommacampagna VR;Sempre;Sì;
Impianti sportivi di Sommacampagna/Palestra;Via Bassa, 2, 37066 Sommacampagna VR;Negli orari di apertura;Sì;
Impianti sportivi di Sommacampagna/Campo Calcio;Via Bassa, 2, 37066 Sommacampagna VR;Negli orari di apertura;Sì;
Impianti sportivi di Sommacampagna/Esterno Bar;Via Bassa, 2, 37066 Sommacampagna VR;Sempre;Sì;
Impianti sportivi di Sommacampagna/Interno Bar;Via Bassa, 2, 37066 Sommacampagna VR;Negli orari di apertura;Sì;
Impianti sportivi di Sommacampagna/Tamburello;Via Bassa, 2, 37066 Sommacampagna VR;Negli orari di apertura;Sì;
Impianti sportivi di Caselle/Beach Tennis e Ciclisti;Piazza dei Donatori, 3, 37066 Caselle VR;Negli orari di apertura;Sì;
Impianti sportivi di Caselle/Calcio;Piazza dei Donatori, 3, 37066 Caselle VR;Negli orari di apertura;Sì;
Impianti sportivi di Caselle/Judo;Piazza dei Donatori, 3, 37066 Caselle VR;Negli orari di apertura;Sì;
Impianti sportivi di Caselle/Tennis;Piazza dei Donatori, 3, 37066 Caselle VR;Negli orari di apertura;Sì;
Palestra di Caselle;Piazza dei Donatori, 3, 37066 Caselle VR;Negli orari di apertura;Sì;
