Nome struttura;Indirizzo;Disponibilità accesso;Manutenzione periodica;Note
Farmacia di Sona;Piazza della Vittoria, 37060, Sona;Sempre;Sì;
Palestra della scuola secondaria "Anna Frank";Via Carducci, 10; Lugagnano di Sona;Negli orari di apertura;Sì;
Ufficio Postale di Palazzolo;Via Prele, 1; Palazzolo di Sona;Sempre;Sì;
Ufficio Anagrafe di Lugagnano;Via XXVI Aprile, 4-6; Lugagnano di Sona;Sempre;Sì;
Palestra della scuola secondaria "Virgilio";Via G.B. Pergolesi, 13;Negli orari di apertura;Sì;
Scuola Primaria "Collodi";Via Celà, 25;Negli orari di apertura;Sì;
Scuola Primaria di Sona "Aleardi";Via Roma, 46;Negli orari di apertura;Sì;
Scuola Primaria di Palazzolo "San Giovanni Bosco";Via Castello, 5;Negli orari di apertura;Sì;
Palestra impianti sportivi di San Giorgio in Salici;Via Segradi, 19;Negli orari di apertura;Sì;
Palestra degli impianti sportivi di Sona;Via Casella, 24;Negli orari di apertura;Sì;
Palestra degli impianti sportivi di Palazzolo;Via Cecco Angiolieri, 1;Negli orari di apertura;Sì;
Palestra di Lugagnano - Esterno;Via Dora Baltea;Sempre;Sì;
Impianti sportivi di Lugagnano;Via Barlottini;Negli orari di apertura;Sì;
Impianti sportivi di Lugagnano;Via Stadio;Negli orari di apertura;Sì;
Impianti sportivi Rugby Sona;Via San Quirico;Negli orari di apertura;Sì;
Scuola Primaria di Lugagnano - Silvio Pellico 2;Via Carducci;Negli orari di apertura;Sì;
Impianti sportivi Lugagnano - Largo Weiler;L.go Weiler, 7;Negli orari di apertura;Sì;
Farmacia di San Giorgio in Salici;ia Don Vittorio Castello;Negli orari di apertura;Sì;
Baita Alpini Lugagnano;Via Caduti del Lavoro, 4;Negli orari di apertura;Sì;
Baita Alpini Palazzolo di Sona;Via Believe, 16;Negli orari di apertura;Sì;
Casa "Il Girasole";Via Roma,23;Negli orari di apertura;Sì;
