Nome struttura;Indirizzo;Disponibilità accesso;Manutenzione periodica;Note
Impianti sportivi capoluogo spogiatoio calcio;via dello Sport;Negli orari di apertura;Sì;
Impianti sportivi capoluogo palazzina tennis;via Barbarani;Negli orari di apertura;Sì;
Impianti sportivi capoluogo palazzetto sport;via Barbarani;Negli orari di apertura;Sì;
Piazza Carlo Alberto Municipio;Piazza Carlo Alberto;Sempre;Sì;
Colonie elioterapiche Borghetto;via M. Buonarroti;Negli orari di apertura;Sì;
Impianti sportivi Salionze ;via Trento;Negli orari di apertura;Sì;
Scuola Primaria Collodi;P.zza Garibaldi;Negli orari di apertura;Sì;
Scuola Secondaria Foroni;via Barbarani;Negli orari di apertura;Sì;
"Ricreatorio Parrocchiale ""Grest Valeggio""";via Mazzini ;Sempre;Sì;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
