Nome struttura;Indirizzo;Disponibilità accesso;Manutenzione periodica;Note
Scuola Secondaria I.C. Rita Levi Montalcini;Via Bassini, 6;Negli orari di apertura;Sì;Modello: DEFIBTECH LIFELINE AED - Anno: 2015
"Stadio Comunale ""Umberto Capone""";Via Alzeri, 1;Negli orari di apertura;Sì;Modello: LIFEPAK EXPRESS - Anno: 2007
Parrocchia Località Isolalta;Via Villafranca, 42;Sempre;Sì;Modello: POWERHEART G5 - Anno: 2017
Chiesa di Vigasio;C.so Vittorio Emanuele II, 9/A;Sempre;Sì;Modello: POWERHEART G5 - Anno: 2017
Piazzale Scuole I.C. Rita Levi Montalcini;Via Bassini;Sempre;Sì;Modello: POWERHEART G5 - Anno: 2017
Piazzale Chiesa Località Forette;Via San Martino, 20;Sempre;Sì;Modello: POWERHEART G5 - Anno: 2017
Municipio;Via Italo Montemezzi, 17;Negli orari di apertura;Sì;Modello: TECNOHEART PLUS - Anno: 2017
Palazzetto dello Sport;Via Alzeri, 1;Negli orari di apertura;Sì;Modello: ZOLL AED 3 - Anno: 2019
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
