Nome struttura;Indirizzo;Disponibilità accesso;Manutenzione periodica;Note
Campo da Hockey;via Porta 14;Negli orari di apertura;Sì;
Biblioteca;p.za Villafranchetta;Negli orari di apertura;Sì;
Palazzetto dello sport;via della Speranza 9;Negli orari di apertura;Sì;
Municipio;c.so Garibaldi 24;Sempre;Sì;
Farmacia Madonna del Popolo;via Marsala 23;Sempre;Sì;
Campi da Tennis;via Porta 14;Negli orari di apertura;Sì;
Polizia Municipale;p.za San Sebastiano;Sempre;Sì;
Casa di riposo;via Rinaldo;Negli orari di apertura;Sì;
Scuola superiore Carlo Anti;via Magenta 7/b;Negli orari di apertura;Sì;
Campo da Tamburello;via Porta 14;Negli orari di apertura;Sì;
Campo da Baseball;via della Speranza;Negli orari di apertura;Sì;
Scuola materna S. Giuseppe;c.so Vittorio Emanuele 60;Negli orari di apertura;Sì;
Palazzo del Trattato con Museo;via Pace;Negli orari di apertura;Sì;
Circolo Noi;via Principe Amedeo;Negli orari di apertura;Sì;
Impianti sportivi;via Zamboni;Negli orari di apertura;Sì;
Centro Sociale;via De Amicis 7;Negli orari di apertura;Sì;
Impianti sportivi;via Afra Decò;Negli orari di apertura;Sì;
Palazzetto dello sport;via Afra Decò;Negli orari di apertura;Sì;
Centro Sociale;via Duca degli Abruzzi;Negli orari di apertura;Sì;
Impianti sportivi;via Piave;Negli orari di apertura;Sì;
Impianti sportivi;via Caluri;Negli orari di apertura;Sì;
Farmacia comunale;via Stazione;Negli orari di apertura;Sì;
Delegazione Centro prelievi ;viale Europa;Negli orari di apertura;Sì;
Palazzetto dello sport;via della Maddalena 1;Negli orari di apertura;Sì;
Campi da calcio;via della Maddalena 20;Negli orari di apertura;Sì;
Circolo NOI;p.za Don Girelli;Negli orari di apertura;Sì;
Campi da Tennis;via Brigate Alpine;Negli orari di apertura;Sì;
Casa del Popolo;via Bassani;Negli orari di apertura;Sì;
Impianti sportivi;via Piazzola;Negli orari di apertura;Sì;
Parrocchia;p.za 24 febbraio;Negli orari di apertura;Sì;
Impianti sportivi;via Morandini 30;Negli orari di apertura;Sì;
