Nome struttura;Indirizzo;Disponibilità accesso;Manutenzione periodica;Note
UFFICI COMUNALI;PIAZZA 26 APRILE;Negli orari di apertura;;ANGOLO ESTERNO
AUTO SERVIZIO VIGILI URBANI;;;;
UFFICI COMUNALI;PIAZZA 26 APRILE;Sempre;;UFFICIO VIGILI URBANI
PALESTRA CITELLA;VIA CITELLA;Negli orari di apertura;;INGRESSO A SX
IPAB;VIA P. VERONESE 9;Negli orari di apertura;;ENTRATA A SX
PALESTRA A. MORO;VIA GEN. DALLA CHIESA;Negli orari di apertura;;CENTRO PALESTRA DIETRO TAVOLO GIUDICI
PALESTRA ITC ;VIA GEN. DALLA CHIESA;Negli orari di apertura;;SOTTO LA TRIBUNA VICINO PORTA PALESTRINA
IMPIANTI SPORTIVI “CARLO ADAMI”;VIA MOLINARA;Negli orari di apertura;;ESTERNO VICINO BAGNO HA.
IMPIANTI SPORTIVI “CARLO ADAMI”;VIA MOLINARA;Negli orari di apertura;;ESTERNO SPOGLIATOI TENNIS
PALESTRA BENI MONTRESOR;VIA MARTIRI DELLE FOIBE;Negli orari di apertura;;ENTRANDO A SX PRIMA DELLA ZONA TRIBUNA
UFFICI COMUNALI;PIAZZA NUOVA, 14;Negli orari di apertura;;INGRESSO A SX
VILLA SPINOLA;VIA CITELLA, 52;Negli orari di apertura;;SOTTO IL PORTICO A SX
AVIS (EX CERVINI);VIA PIEMONTE, 84;Negli orari di apertura;;ESTERNO SOTTO AL PORTICO
AVIS (EX DANESE);VIA SAN VALENTINO, 36;Negli orari di apertura;;ESTERNO
BIBLIOTECA COMUNALE;P.LE V. VENETO, 101;Sempre;;ESTERNO
INFORMAGIOVANI;VIA DE GASPERI, 49;Negli orari di apertura;;ENTRATA
CARABINIERI AUTOMOBILE;VIA C.A. DALLA CHIESA;;;
CASERMA CARABINIERI;VIA C.A. DALLA CHIESA, 7;Negli orari di apertura;;
