Nome struttura;Indirizzo;Disponibilità accesso;Manutenzione periodica;Note
"Unione sportiva Dilettantistica 
Castelnuovo D/G";Impianto sportivo di Castelnuovo D/G Via Oregolo n. 8;Negli orari di apertura;Sì;
"Unione sportiva Dilettantistica 
Castelnuovo D/G";"Impianto sportivo di Sandrà 
Via S'Antonio - Sandrà";Negli orari di apertura;Sì;
ASD Sportiva Cavalcaselle;"Impianto sportivo di Cavalcaselle 
Via Enzo Ferrari ";Negli orari di apertura;Sì;
Circolo La Bandiera Oliosi;"Impianto sportivo di Oliosi 
Via Custozza n. 37";Negli orari di apertura;Sì;
"Istituto Comprensivo ""Montini""";"Scuola Primaria Cavalcaselle    
P. zza S. Lorenzo - Cavalcaselle";Negli orari di apertura;Sì;
"Istituto Comprensivo ""Montini""";"Scuola Media Castelnuovo D/G 
Via Degli Studi 2 - Castelnuovo D/G";Negli orari di apertura;Sì;
"Istituto Comprensivo ""Montini""";"Scuola Primaria Castelnuovo D/G 
Via Cesare Pavese 6 - Castelnuovo D/G";Negli orari di apertura;Sì;
"Istituto Comprensivo ""Montini""";"Scuola Primaria Sandrà 
P. zza della Repubblica 3 - Sandrà";Negli orari di apertura;Sì;
"Protezione Civile di 
Castelnuovo D/G";"Mobile - Fissa
Via Galileo Galilei 20 Castelnuovo D/G";Negli orari di apertura;Sì;
Corpo di Polizia Locale;"Mobile 
P. zza Libertà 4 Castelnuovo D/G";Negli orari di apertura;Sì;
Corpo di Polizia Locale;"Fisso 
P. zza Libertà 4 Castelnuovo D/G";Negli orari di apertura;Sì;
Atrio comune Pian Terreno;"Comune Castelnuovo D/G
Piazza degli Apini 4 Castelnuovo D/G";Negli orari di apertura;Sì;
Teatro DIM Sandrà;"DIM Sandrà
Via San Martini 4 Castelnuovo D/G";Negli orari di apertura;Sì;
Tennis Struttura Coperta;Impianto sportivo di Castelnuovo D/G Via Oregolo n. 8;Negli orari di apertura;Sì;
Palazzetto dello Sport;Impianto sportivo di Castelnuovo D/G Via Oregolo n. 8;Negli orari di apertura;Sì;
Circolo NOI / Chiesa;"Castelnuovo D/G 
Via Castello 25 Castelnuovo D/G";Negli orari di apertura;Sì;
Circolo La Bandiera Oliosi;impianti sportivi di oliosi;Negli orari di apertura;Sì;
Atrio comune Pian Terreno;"Comune Castelnuovo D/G
Piazza degli Apini 4 Castelnuovo D/G";Negli orari di apertura;Sì;
COMUNE CASTELNUOVO DEL GARDA;PIAZZA DEGLI ALPINI N. 4 CASTELNUOVO D/G;Sempre;Sì;
COMUNE CASTELNUOVO DEL GARDA;PIAZZA S' ANDREA FRAZ^ SANDRÀ;Sempre;Sì;
COMUNE CASTELNUOVO DEL GARDA;PARCHEGGIO SCUOLA MATERNA FRAZ^ SANDRÀ VIA S' MARTINO;Sempre;Sì;
COMUNE CASTELNUOVO DEL GARDA;VIA XX SETTEMBRE CAVALCASELLE  ADIACENTE FARMACIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Sempre;Sì;
